id;scope;category;specifikation1;specifikation2;specifikation3;add_name1;comment;in;out;source;factor;monthly_values;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;parent;project
7c18fe11-f511-48d9-80e4-4e5740d47853;3;Chemische Grundstoffe und Produkte;2-Methylprop-1-en;;; C4H8;;kg;kg;EEW 2023;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
b3492903-3fc4-4e92-9ef3-89202248d71e;3;Chemische Grundstoffe und Produkte;2-Phenylpropan;;; C9H12;;kg;kg;EEW 2023;2.32;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c418323b-2fee-4c38-aef3-d2dcc3ae30a1;3;Chemische Grundstoffe und Produkte;2-Propanol;;;;hochrein;kg;kg;Gemis 5.1;1.697;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5ac02db5-c2a8-4bb9-93d3-e0e604cafb4a;3;Kunststoff;A/B/A;;;;;kg;kg;ÖKOBAUDAT;2.86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d3519c7c-a06c-4e23-9347-336d05e760c7;3;Kunststoff;ABS;;;;;kg;kg;ProBas;3.76;0;0;0;0;0;0;0;0;0;0;0;0;0;;
9b245422-55d2-4bc1-9680-b122dfe5cc7c;3;Entsorgung;Abwasser;;;;;l;kg;Probas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1fe0d001-7278-4793-a46e-f70da84ac02a;3;Wasser;Abwasser;;;;;l;kg;Probas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8f465c3a-cba1-47af-9760-388f4727b0dd;3;Chemische Grundstoffe und Produkte;Acetan;;; C2H4;;kg;kg;EEW 2023;1.46;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ec1b3fb0-b8a9-4fb4-ac7e-ffe4859745ac;3;Chemische Grundstoffe und Produkte;Acetclen;;;;;kg;kg;EEW 2023;2.98;0;0;0;0;0;0;0;0;0;0;0;0;0;;
b255cc63-b822-4d04-a963-552cb7147852;3;Chemische Grundstoffe und Produkte;Aceton;;; C3H6O;;kg;kg;EEW 2023;4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d0b1c276-ef96-4455-b47c-064c75ba3b7b;3;Chemische Grundstoffe und Produkte;Acetoxylsäure;;;;;kg;kg;Gemis 5.1;2.645;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c5fc2bce-5e0f-454b-9d7d-d1d492605570;3;Chemische Grundstoffe und Produkte;Acetoxylsäure;;; C2H4O2;;kg;kg;EEW 2023;1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;;
760b0d33-8ac5-4d65-ac17-1d78718d9fe5;3;Chemische Grundstoffe und Produkte;Acetylsäure;;; C2H4O2;;kg;kg;EEW 2023;1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0cde0708-befd-4711-ae63-97ca503ad138;3;Kunststoff;Acrylat;;;;;kg;kg;ÖKOBAUDAT;2.86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
